No,Batsman,Status,R,B,M,4s,6s,SR,,,
1,Saran ,lbw,0,1,1,0,0,0,,,
2,Senthil Raja,runout,44,56,82,4,0,78.57,,,
3,Sathish Sankar,caught,35,57,85,2,0,61.4,,,
4, Vignesh,caught,2,6,10,0,0,33.33,,,
5,Vignesh Vignesh,stump it,14,19,36,0,0,73.68,,,
6,Mahi Mahi,caught,0,1,3,0,0,0,,,
7,Kumar Yb,bowled,6,8,6,0,0,75,,,
8,Mithun ,caught,4,7,8,0,0,57.14,,,
9,Kannan ,bowled,0,3,6,0,0,0,,,
10,Manoj,runout,0,3,4,0,0,0,,,
11,Manoj Kumar Kanagaraj,not out,1,3,2,0,0,33.33,,,
,,,,,,,,,,,
No,Bowler,O,M,R,W,0s,4s,6s,WD,NB,Eco
1,Kannan ,4,0,17,1,16,1,0,1,2,4.25
2,Senthil Raja,4,1,7,2,21,1,0,1,0,1.75
3,Mithun,2,0,9,0,7,0,0,3,0,4.5
4,Kumar Yb,5,0,14,5,20,0,0,3,1,2.8
5,Saran,3.5,0,11,1,15,0,0,1,0,2.87
